Region/City,Number of Students,Internal Expenditures on R&D,External Expenditures on R&D,"Innovation Activity Level, %",Current Revenues,Current Expenditures,Institutions,Teachers,Student Seat Availability,Score
Abay,0.014624714361047637,0.6726279330537361,0.0,-0.4186527021421649,0.2596649060992742,0.2565432422437621,0.323943661971831,0.14677419354838708,0.19029137748438088,0.429171636775339
Akmola,0.009492002109333802,0.592691942465783,0.45471070871276265,-1.0010686063841037,0.3124709636707177,0.3093784655635119,0.2676056338028169,0.20645161290322572,-0.7043909548563468,0.20910324505154163
Aktobe,0.03216734048163122,0.584685539184469,0.6853785555837639,1.0789881944799635,0.3414733778401331,0.3446941150731222,0.3661971830985916,0.26612903225806445,1.139079768800356,1.6151231888102995
Almaty,0.008788890841975743,0.5531001517693959,0.2981135103555834,-1.1952072411314165,0.4058397891284269,0.40425156789217986,0.3661971830985916,0.45483870967741924,-0.1266155393706516,0.4003476270104904
Atyrau,0.009140446475654773,0.4669834860907136,0.42071233093392424,-0.8069299716367906,0.2916425141988901,0.28155468511232673,0.16901408450704228,0.1483870967741935,-0.7797529655718727,0.17239047430997737
West Kazakhstan,0.03568289681842152,0.5392987712315185,0.5172772758921798,-1.3616117852005418,0.30136739138253343,0.289668665366825,0.2816901408450704,0.19677419354838704,0.9632350771307963,0.21546655499057854
Zhambyl,0.02777289506064335,0.6619131899712161,0.1431289324859062,-1.1674731504532287,0.3968301419528171,0.39700475152186954,0.3943661971830986,0.396774193548387,0.9613027178816804,0.4974601925744953
Zhetisu,0.02151520478115662,0.342160298826266,0.5038445917677543,0.3301677461688995,0.2707073657949848,0.2714367495156407,0.12676056338028172,0.19677419354838704,1.2414948090035058,0.9571545163104226
Karagandy,0.06081912462647214,0.7008272780349933,0.5376798683793647,1.522733645330964,0.37352508749365754,0.37004345748269873,0.47887323943661975,0.2241935483870967,-0.331445619776951,1.7359589934855455
Kostanay,0.020741782387062757,0.5432759066991137,0.5413614303423042,-0.11357770468210183,0.2992022709487183,0.2986975292339875,0.295774647887324,0.17096774193548384,-2.2792637428859215,0.4807384246718638
Kyzylorda,0.010370891193531375,0.4783344478805074,0.5002906808305352,0.9957859224454007,0.3656777976772281,0.36226184961222785,0.23943661971830985,0.30967741935483867,-1.33240771081906,1.2370199116649714
Mangystau,0.0,0.7894662526577176,0.6242708301252797,-1.2784095131659792,0.2839278243316037,0.27572313271699356,0.16901408450704228,0.19032258064516122,0.9265202513975934,0.2573429223617191
Pavlodar,0.017753559500791,0.5219429225490066,0.46269946850314847,0.9957859224454007,0.29194828017011787,0.28940595269004277,0.3802816901408451,0.16290322580645158,0.9110613774046646,1.3503109570776342
North Kazakhstan,0.0012304447178766043,0.7487243047923655,0.5038445917677543,1.5504677360091517,0.2399246173825671,0.2382987572597477,0.15492957746478872,0.14193548387096774,-1.954627389034428,1.254709021357749
Turkistan,0.011601335911407981,0.4999660777950332,0.398479662770586,-0.169045886038477,0.5352181836382526,0.5346247628408705,0.5070422535211268,1.0,0.8376317259382523,1.5423818785405254
Ulytau,0.014624714361047637,0.0,0.6307928041930837,-0.3354504301076021,0.0,0.0,0.0,0.0,-0.1633303651038545,-0.012507796317345037
East Kazakhstan,0.04499912111091581,0.7096677008505041,0.5789048126421146,-0.22451406739485177,0.2698516887636835,0.26884919887709646,0.3380281690140845,0.13548387096774192,-0.7469028583369015,0.6197889024800665
Astana city,0.09878713306380735,0.8402315272984586,0.5531692057453319,1.439531373296402,0.5138408824276128,0.5361522455738941,0.23943661971830985,0.1854838709677419,1.1216885355583115,1.985648247343686
Almaty city,0.2910880646862366,0.9084118908181888,0.4681487727982723,0.9957859224454007,0.5661533501899676,0.5643724943508284,1.0,0.3483870967741935,-0.0126063436728048,2.177563216555515
Shymkent city,0.1339426964317103,0.5808873823589766,0.5192284913035516,-1.222941331809604,0.3879328775295905,0.3824987341124908,0.3521126760563381,0.2741935483870967,0.13811767775824704,0.46369023627612055
